receipt_id,user_id,bonusPointsEarned,bonusPointsEarnedReason,createDate_epoch,createDate,dateScanned_epoch,dateScanned,finishedDate_epoch,finishedDate,ModifyDate_epoch,modifyDate,pointsAwardedDate_epoch,pointsAwardedDate,purchaseDate_epoch,purchaseDate,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent
5ffcb4c90a7214ad4e000016,5ffcb47d04929111f6e9256c,,,1610396873000,2021-01-11 20:27:53.000,1610396873000,2021-01-11 20:27:53.000,1610396874000.0,2021-01-11 20:27:54.000,1610396874000,2021-01-11 20:27:54.000,1610396873000.0,2021-01-11 20:27:53,1609718400000.0,2021-01-04 00:00:00,100.0,1.0,FINISHED,10.0
5ffc8cb40a720f05c5000025,5ffc8cb304929111f6e9229d,,,1610350612000,2021-01-11 07:36:52.000,1610350612000,2021-01-11 07:36:52.000,1610368616000.0,2021-01-11 12:36:56.000,1610368616000,2021-01-11 12:36:56.000,,,1610287200000.0,2021-01-10 14:00:00,0.0,1.0,FINISHED,3.09
5ffcb4b80a7214ad4e00000d,5ffcb4b8b3348b11c9338ae1,5.0,All-receipts receipt bonus,1610396856000,2021-01-11 20:27:36.000,1610396856000,2021-01-11 20:27:36.000,,,1610396861000,2021-01-11 20:27:41.000,,,1610323200000.0,2021-01-11 00:00:00,5.0,1.0,REJECTED,10.0
5ffcb4a20a720f0515000006,5ffcb47d04929111f6e9256c,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1610396834000,2021-01-11 20:27:14.000,1610396834000,2021-01-11 20:27:14.000,1610396839000.0,2021-01-11 20:27:19.000,1610396839000,2021-01-11 20:27:19.000,1610396834000.0,2021-01-11 20:27:14,1610310434000.0,2021-01-10 20:27:14,100.0,2.0,FINISHED,1.0
5ffc8f990a7214adca00002d,5ffc8f9704929111f6e922bf,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1610387353000,2021-01-11 17:49:13.000,1610387353000,2021-01-11 17:49:13.000,1610387358000.0,2021-01-11 17:49:18.000,1610387358000,2021-01-11 17:49:18.000,1610387358000.0,2021-01-11 17:49:18,1610300953000.0,2021-01-10 17:49:13,885.0,2.0,FINISHED,2.0
5ffe1cbe0a7214ad28002843,59c124bae4b0299e55b0f330,,,1610489022000,2021-01-12 22:03:42.000,1610489022000,2021-01-12 22:03:42.000,1610489022000.0,2021-01-12 22:03:42.000,1610489022000,2021-01-12 22:03:42.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffce7db0a720f051500236e,59c124bae4b0299e55b0f330,,,1610409947000,2021-01-12 00:05:47.000,1610409947000,2021-01-12 00:05:47.000,1610409949000.0,2021-01-12 00:05:49.000,1610409947000,2021-01-12 00:05:47.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffce8570a7214ad4e003e6f,59c124bae4b0299e55b0f330,,,1610410071000,2021-01-12 00:07:51.000,1610410071000,2021-01-12 00:07:51.000,,,1610410071000,2021-01-12 00:07:51.000,,,,,,,SUBMITTED,
5ffce8310a7214ad4e003797,59c124bae4b0299e55b0f330,,,1610410033000,2021-01-12 00:07:13.000,1610410033000,2021-01-12 00:07:13.000,1610410034000.0,2021-01-12 00:07:14.000,1610410033000,2021-01-12 00:07:13.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe19d90a7214ad28000e62,59c124bae4b0299e55b0f330,,,1610488281000,2021-01-12 21:51:21.000,1610488281000,2021-01-12 21:51:21.000,1610488281000.0,2021-01-12 21:51:21.000,1610488281000,2021-01-12 21:51:21.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe1d030a720f05ac002c9e,59c124bae4b0299e55b0f330,,,1610489091000,2021-01-12 22:04:51.000,1610489091000,2021-01-12 22:04:51.000,1610489091000.0,2021-01-12 22:04:51.000,1610489091000,2021-01-12 22:04:51.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffce8250a7214ad4e0034de,59c124bae4b0299e55b0f330,,,1610410020000,2021-01-12 00:07:00.000,1610410020000,2021-01-12 00:07:00.000,,,1610410020000,2021-01-12 00:07:00.000,,,,,,,SUBMITTED,
5ffcefb00a720f0515005e8d,59c124bae4b0299e55b0f330,,,1610411952000,2021-01-12 00:39:12.000,1610411952000,2021-01-12 00:39:12.000,,,1610411952000,2021-01-12 00:39:12.000,,,,,,,SUBMITTED,
5ffce76e0a720f0515000b48,59c124bae4b0299e55b0f330,,,1610409838000,2021-01-12 00:03:58.000,1610409838000,2021-01-12 00:03:58.000,1610409840000.0,2021-01-12 00:04:00.000,1610409838000,2021-01-12 00:03:58.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe23560a720f05ac006874,59c124bae4b0299e55b0f330,,,1610490710000,2021-01-12 22:31:50.000,1610490710000,2021-01-12 22:31:50.000,1610490710000.0,2021-01-12 22:31:50.000,1610490710000,2021-01-12 22:31:50.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe22a20a720f05ac0061d7,59c124bae4b0299e55b0f330,,,1610490530000,2021-01-12 22:28:50.000,1610490530000,2021-01-12 22:28:50.000,1610490530000.0,2021-01-12 22:28:50.000,1610490530000,2021-01-12 22:28:50.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe1dc20a7214ad28003180,59c124bae4b0299e55b0f330,,,1610489282000,2021-01-12 22:08:02.000,1610489282000,2021-01-12 22:08:02.000,1610489283000.0,2021-01-12 22:08:03.000,1610489282000,2021-01-12 22:08:02.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffce88b0a7214ad4e004b22,59c124bae4b0299e55b0f330,,,1610410122000,2021-01-12 00:08:42.000,1610410122000,2021-01-12 00:08:42.000,,,1610410122000,2021-01-12 00:08:42.000,,,,,,,SUBMITTED,
5ffce7a70a720f05150016b0,59c124bae4b0299e55b0f330,,,1610409895000,2021-01-12 00:04:55.000,1610409895000,2021-01-12 00:04:55.000,,,1610409895000,2021-01-12 00:04:55.000,,,,,,,SUBMITTED,
5ffe1aa90a7214ad280015e8,59c124bae4b0299e55b0f330,,,1610488489000,2021-01-12 21:54:49.000,1610488489000,2021-01-12 21:54:49.000,1610488489000.0,2021-01-12 21:54:49.000,1610488489000,2021-01-12 21:54:49.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffcef5a0a720f0515004f1a,59c124bae4b0299e55b0f330,,,1610411866000,2021-01-12 00:37:46.000,1610411866000,2021-01-12 00:37:46.000,1610411866000.0,2021-01-12 00:37:46.000,1610411866000,2021-01-12 00:37:46.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe23d70a7214ad280068f6,59c124bae4b0299e55b0f330,,,1610490839000,2021-01-12 22:33:59.000,1610490839000,2021-01-12 22:33:59.000,1610490839000.0,2021-01-12 22:33:59.000,1610490839000,2021-01-12 22:33:59.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe18b10a7214ad280003d1,59c124bae4b0299e55b0f330,,,1610487985000,2021-01-12 21:46:25.000,1610487985000,2021-01-12 21:46:25.000,1610487985000.0,2021-01-12 21:46:25.000,1610487985000,2021-01-12 21:46:25.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffcef630a720f05150050ae,59c124bae4b0299e55b0f330,,,1610411875000,2021-01-12 00:37:55.000,1610411875000,2021-01-12 00:37:55.000,1610411875000.0,2021-01-12 00:37:55.000,1610411875000,2021-01-12 00:37:55.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffce7ae0a7214ad4e001851,59c124bae4b0299e55b0f330,,,1610409901000,2021-01-12 00:05:01.000,1610409901000,2021-01-12 00:05:01.000,,,1610409901000,2021-01-12 00:05:01.000,,,,,,,SUBMITTED,
5ffce8150a7214ad4e0030a3,59c124bae4b0299e55b0f330,,,1610410004000,2021-01-12 00:06:44.000,1610410004000,2021-01-12 00:06:44.000,,,1610410004000,2021-01-12 00:06:44.000,,,,,,,SUBMITTED,
5ffe20290a720f05ac004a84,59c124bae4b0299e55b0f330,,,1610489897000,2021-01-12 22:18:17.000,1610489897000,2021-01-12 22:18:17.000,1610489897000.0,2021-01-12 22:18:17.000,1610489897000,2021-01-12 22:18:17.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
5ffe1c520a7214ad2800245c,59c124bae4b0299e55b0f330,,,1610488914000,2021-01-12 22:01:54.000,1610488914000,2021-01-12 22:01:54.000,1610488914000.0,2021-01-12 22:01:54.000,1610488914000,2021-01-12 22:01:54.000,,,1610409600000.0,2021-01-12 00:00:00,,,PENDING,28.57
